Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-134.26259166,58.83510177,1702.152,Global,0.011,0.012,0.011,0.016,1.934,m,FIX,2024-07-27 11:10:13.4 UTC-08:00,2024-07-27 11:12:13.4 UTC-08:00,601,1.7,2.0,,,,-134.27578696,58.83446195,1701.891,765.565,,Global CS,8,6,0,0,0
2,,,,,,-134.26254472,58.83329291,1688.496,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 11:34:31.8 UTC-08:00,2024-07-27 11:36:31.8 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1701.891,776.059,,Global CS,6,7,0,0,0
3,,,,,,-134.26201266,58.83156113,1681.185,Global,0.011,0.012,0.013,0.016,1.934,m,FIX,2024-07-27 11:48:29.4 UTC-08:00,2024-07-27 11:50:29.4 UTC-08:00,601,1.9,2.3,,,,-134.27578696,58.83446195,1701.891,859.071,,Global CS,6,7,0,0,0
4,,,,,,-134.26124553,58.82973675,1677.624,Global,0.010,0.011,0.011,0.015,1.934,m,FIX,2024-07-27 11:59:07.2 UTC-08:00,2024-07-27 12:01:07.2 UTC-08:00,601,1.3,1.5,,,,-134.27578696,58.83446195,1701.891,991.661,,Global CS,8,7,0,0,0
5,,,,,,-134.26102838,58.82803114,1683.069,Global,0.011,0.012,0.012,0.016,1.934,m,FIX,2024-07-27 12:10:51.0 UTC-08:00,2024-07-27 12:12:51.0 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1701.891,1113.850,,Global CS,7,7,0,0,0
6,,,,,,-134.26042424,58.82625088,1686.327,Global,0.010,0.011,0.011,0.015,1.934,m,FIX,2024-07-27 12:22:20.2 UTC-08:00,2024-07-27 12:24:20.2 UTC-08:00,601,1.7,2.0,,,,-134.27578696,58.83446195,1701.891,1274.751,,Global CS,8,6,0,0,0
7,,,,,,-134.25604598,58.82660985,1699.798,Global,0.010,0.012,0.014,0.016,1.934,m,FIX,2024-07-27 13:11:12.4 UTC-08:00,2024-07-27 13:13:12.4 UTC-08:00,601,1.7,2.0,,,,-134.27578696,58.83446195,1701.891,1437.422,,Global CS,8,6,0,0,0
8,,,,,,-134.25605960,58.82868771,1702.551,Global,0.010,0.010,0.012,0.015,1.934,m,FIX,2024-07-27 13:16:55.8 UTC-08:00,2024-07-27 13:18:55.8 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1701.891,1308.732,,Global CS,8,6,0,0,0
9,,,,,,-134.25627435,58.83058943,1700.999,Global,0.011,0.010,0.011,0.015,1.934,m,FIX,2024-07-27 13:22:35.4 UTC-08:00,2024-07-27 13:24:35.4 UTC-08:00,601,1.4,1.7,,,,-134.27578696,58.83446195,1701.891,1206.992,,Global CS,8,6,0,0,0
10,,,,,,-134.25741780,58.83239111,1699.396,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 13:30:25.2 UTC-08:00,2024-07-27 13:32:25.2 UTC-08:00,601,1.7,1.9,,,,-134.27578696,58.83446195,1701.891,1085.946,,Global CS,8,7,0,0,0
11,,,,,,-134.25856070,58.83415953,1702.616,Global,0.010,0.011,0.011,0.015,1.934,m,FIX,2024-07-27 13:41:46.8 UTC-08:00,2024-07-27 13:43:46.8 UTC-08:00,601,1.5,1.7,,,,-134.27578696,58.83446195,1701.891,995.675,,Global CS,7,8,0,0,0
12,,,,,,-134.25851232,58.83581092,1712.466,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 13:47:15.0 UTC-08:00,2024-07-27 13:49:15.0 UTC-08:00,601,1.6,1.8,,,,-134.27578696,58.83446195,1701.891,1009.203,,Global CS,7,8,0,0,0
13,,,,,,-134.25473541,58.83528344,1715.053,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 14:35:57.6 UTC-08:00,2024-07-27 14:37:57.6 UTC-08:00,601,1.4,1.6,,,,-134.27578696,58.83446195,1701.891,1219.589,,Global CS,7,8,0,0,0
14,,,,,,-134.25399941,58.83373930,1712.465,Global,0.011,0.011,0.012,0.016,1.934,m,FIX,2024-07-27 13:55:43.2 UTC-08:00,2024-07-27 13:57:43.2 UTC-08:00,601,1.6,1.8,,,,-134.27578696,58.83446195,1701.891,1261.237,,Global CS,7,7,0,0,0
15,,,,,,-134.25340182,58.83219130,1711.411,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 14:01:00.8 UTC-08:00,2024-07-27 14:03:00.8 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1701.891,1317.723,,Global CS,8,7,0,0,0
16,,,,,,-134.25247633,58.83049333,1713.773,Global,0.011,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 14:07:50.0 UTC-08:00,2024-07-27 14:09:50.0 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1701.891,1417.452,,Global CS,8,7,0,0,0
17,,,,,,-134.25203256,58.82866106,1716.689,Global,0.010,0.011,0.012,0.015,1.934,m,FIX,2024-07-27 14:13:27.2 UTC-08:00,2024-07-27 14:15:27.2 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1701.891,1517.006,,Global CS,8,7,0,0,0
18,,,,,,-134.25250717,58.82687608,1719.962,Global,0.011,0.011,0.013,0.016,1.934,m,FIX,2024-07-27 14:18:37.4 UTC-08:00,2024-07-27 14:20:37.4 UTC-08:00,601,1.5,1.8,,,,-134.27578696,58.83446195,1701.891,1588.602,,Global CS,8,7,0,0,0
